
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]										RAF_UP.V1_DN					
26130	GAPVD1	GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]										RAF_UP.V1_DN					
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]													MTOR_UP.N4.V1_UP		
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]													MTOR_UP.N4.V1_UP		
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]														ERBB2_UP.V1_DN	
6741	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]														ERBB2_UP.V1_DN	
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]															CAMP_UP.V1_DN
3312	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]															CAMP_UP.V1_DN
1073	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]															
8899	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]															
84836	ABHD14B	abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]															
4640	MYO1A	myosin IA [Source:HGNC Symbol;Acc:HGNC:7595]															
80014	WWC2	WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]															
129607	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]															
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]															
79882	ZC3H14	zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]															
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]															
84952	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]															
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]															
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]															
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]															
7284	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]															
51056	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]															
10155	TRIM28	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]															
10514	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]															
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]															
11325	DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]															
125950	RAVER1	ribonucleoprotein, PTB binding 1 [Source:HGNC Symbol;Acc:HGNC:30296]															
1314	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]															
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]															
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]															
22820	COPG1	COPI coat complex subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:2236]															
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]															
23271	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]															
2665	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]															
488	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]															
5223	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]															
5230	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]															
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]															
56288	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]															
6050	RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]															
6124	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]															
6133	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]															
7265	TTC1	tetratricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12391]															
7417	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]															
80746	TSEN2	tRNA splicing endonuclease subunit 2 [Source:HGNC Symbol;Acc:HGNC:28422]															
832	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]															
8479	HIRIP3	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]															
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]															
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]															
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]															
